danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.774,0.626,-4.432,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,4iLqG9SeJSnt0cSPICSjxv,211475
0.857,0.8,-4.035,0.0583,0.381,0.0,0.0913,0.966,121.996,79cuOz3SPQTuFrp8WgftAu,199440
0.611,0.574,-7.345,0.0325,0.0402,1.85e-06,0.19,0.601,154.936,2qwCxaTQQQgkfAzztcq1HP,180978
0.609,0.726,-4.346,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,33IOhptvC2Qoy2UhjiHXLV,195000
0.585,0.776,-5.898,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,2IiNA0s5eQBSjwK4iNeUvW,244507
0.668,0.725,-6.127,0.266,0.0102,0.000479,0.0561,0.729,191.944,7xHWNBFm6ObGEQPaUxHuKO,210227
0.673,0.487,-7.011,0.239,0.279,0.0,0.144,0.192,160.216,1Agl3YCXpBcPspuXobCB2d,133989
0.452,0.563,-6.607,0.0272,0.144,0.0,0.143,0.209,137.715,7JIuqL4ZqkpfGKQhYlrirs,267653
0.674,0.915,-3.999,0.0411,0.0282,0.00337,0.273,0.78,126.038,6M6Tk58pQvABy6ru66dY3d,191293
0.209,0.417,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,7LVHVU3tWfcxj5aiPFEW4Q,295533
0.69,0.897,-4.696,0.0506,0.0142,0.0,0.108,0.849,140.05,0AfYeE3bfJRcq9J2hUJXmM,221493
0.81,0.793,-9.404,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,69kOkLUCkxIZYexIgSG8rq,369627
0.765,0.473,-5.829,0.0514,0.287,0.0,0.391,0.34,119.992,5kqIPrATaCc2LqxVWzQGbk,237300
0.748,0.52,-11.082,0.317,0.0285,0.927,0.093,0.159,150.438,2IFSfu19kxWBLQB2CEHqyb,113671
0.571,0.932,-3.68,0.0576,0.00448,0.00939,0.117,0.864,150.014,5zTzDqrEmseqL2G8ElgBu7,220627
0.73,0.848,-5.262,0.101,0.0494,0.0,0.133,0.559,65.025,2eJ8ij1T3cNUKiGdcUvKhy,213973
0.575,0.664,-5.303,0.0481,0.637,0.0,0.116,0.437,129.07,0aOluBqXYd0rFSCsgDyAWX,241693
0.607,0.615,-6.93,0.255,0.194,1.98e-06,0.358,0.635,199.927,103iTEPJwc4MththlvRakh,184900
0.711,0.906,-2.671,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,2U8NXPTXZWG2O0ye2sYRiH,157153
0.427,0.9,-3.674,0.0499,0.116,1.75e-05,0.119,0.599,104.655,2aibwv5hGXSgw7Yru8IYTO,334667
0.692,0.715,-4.541,0.0411,0.0175,0.0,0.0894,0.65,147.86,2iNGlAHyuZW7J7yUXZtHUp,222565
0.854,0.658,-6.932,0.17,0.154,0.00914,0.102,0.855,137.949,2TNaQWWTeTyig2wsr1BNaL,265667
0.482,0.706,-5.762,0.0607,0.135,0.00106,0.105,0.144,92.513,4esOae7i4rqTbAu9o5Pxco,224920
0.784,0.83,-7.572,0.386,0.1,0.0,0.286,0.845,162.052,5Wyk3KPrRvwD2S1RCY4SNr,177778
0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,2tJulUYLDKOg9XrtVkMgcJ,222091
0.622,0.469,-6.798,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,6FB3v4YcR57y4tXFcdxI1E,219720
0.684,0.377,-10.746,0.325,0.319,0.0,0.088,0.328,111.642,6VLv4EhaNR5SRfVEpleoWs,171467
0.551,0.836,-3.838,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,6Uy6K3KdmUdAfelUp0SeXn,220573
0.453,0.496,-5.785,0.0453,0.554,2.65e-05,0.0772,0.501,80.994,0fioLzGM8ngbD1w6fMmm45,239317
0.753,0.908,-5.778,0.0982,0.169,0.0,0.65,0.777,124.032,7FJy1sJSge6xV0jOFxjiNI,167463
0.649,0.931,-3.15,0.181,0.0093,0.0,0.751,0.744,153.645,6btyEL6NwUa97Nex9cZFvo,213067
